Hero Data:
OrionHeroData OrionGame.Default__OrionHeroData
OrionHeroData HeroData_TwinBlast.HeroData_TwinBlast
OrionHeroData HeroData_Totem.HeroData_Totem
OrionHeroData HeroData_Steel.HeroData_Steel
OrionHeroData HeroData_Sparrow.HeroData_Sparrow
OrionHeroData HeroData_RiftMage.HeroData_RiftMage
OrionHeroData HeroData_Rampage.HeroData_Rampage
OrionHeroData HeroData_Price.HeroData_Price
OrionHeroData HeroData_Muriel.HeroData_Muriel
OrionHeroData HeroData_HyperBreach.HeroData_HyperBreach
OrionHeroData HeroData_Gadget.HeroData_Gadget
OrionHeroData HeroData_ArcBlade.HeroData_ArcBlade
OrionHeroData HeroData_Grux.HeroData_Grux
OrionHeroData HeroData_Kurohane.HeroData_Kurohane
OrionHeroData HeroData_Hammer.HeroData_Hammer
OrionHeroData HeroData_Pyro.HeroData_Pyro
OrionHeroData HeroData_Coil.HeroData_Coil
OrionHeroData HeroData_Chains.HeroData_Chains
OrionHeroData HeroData_Tomahawk.HeroData_Tomahawk
OrionHeroData HeroData_Sword.HeroData_Sword
OrionHeroData HeroData_Venus.HeroData_Venus
OrionHeroData HeroData_WarDrum.HeroData_WarDrum
OrionHeroData HeroData_Tacticia.HeroData_Tacticia
OrionHeroData HeroData_Kwang.HeroData_Kwang
OrionHeroData HeroData_Vamp.HeroData_Vamp
OrionHeroData HeroData_Crunch.HeroData_Crunch
OrionHeroData HeroData_Grux_BotAnimTest.HeroData_Grux_BotAnimTest
OrionHeroData HeroData_Price_BotAnimTest.HeroData_Price_BotAnimTest

Skins:
OrionSkinItemDefinition OrionGame.Default__OrionSkinItemDefinition
OrionSkinItemDefinition GadgetSkin_Default.GadgetSkin_Default
OrionSkinItemDefinition HyperBreachSkin_Default.HyperBreachSkin_Default
OrionSkinItemDefinition MurielSkin_Default.MurielSkin_Default
OrionSkinItemDefinition PriceSkin_Default.PriceSkin_Default
OrionSkinItemDefinition RampageSkin_Default.RampageSkin_Default
OrionSkinItemDefinition RiftMageSkin_Default.RiftMageSkin_Default
OrionSkinItemDefinition SparrowSkin_Default.SparrowSkin_Default
OrionSkinItemDefinition SteelSkin_Default.SteelSkin_Default
OrionSkinItemDefinition TotemSkin_Default.TotemSkin_Default
OrionSkinItemDefinition TwinBlastSkin_Default.TwinBlastSkin_Default
OrionSkinItemDefinition ArcBladeSkin_Default.ArcBladeSkin_Default
OrionSkinItemDefinition GruxSkin_Default.GruxSkin_Default
OrionSkinItemDefinition KurohaneSkin_Default.KurohaneSkin_Default
OrionSkinItemDefinition HammerSkin_Default.HammerSkin_Default
OrionSkinItemDefinition Skin_Pyro_Default.Skin_Pyro_Default
OrionSkinItemDefinition CoilSkin_Default.CoilSkin_Default
OrionSkinItemDefinition ChainsSkin_Default.ChainsSkin_Default
OrionSkinItemDefinition TomahawkSkin_Default.TomahawkSkin_Default
OrionSkinItemDefinition SwordSkin_Default.SwordSkin_Default
OrionSkinItemDefinition VenusSkin_Default.VenusSkin_Default
OrionSkinItemDefinition Skin_WarDrum_Default.Skin_WarDrum_Default
OrionSkinItemDefinition TacticiaSkin_Default.TacticiaSkin_Default
OrionSkinItemDefinition KwangSkin_Default.KwangSkin_Default
OrionSkinItemDefinition VampSkin_Default.VampSkin_Default
OrionSkinItemDefinition Skin_Crunch_Default.Skin_Crunch_Default
OrionSkinItemDefinition ChallengerSkin_ArcBlade.ChallengerSkin_ArcBlade
OrionSkinItemDefinition MasterSkin_Arcblade.MasterSkin_Arcblade
OrionSkinItemDefinition Skin_Arcblade_Buy_A_InnerFire.Skin_Arcblade_Buy_A_InnerFire
OrionSkinItemDefinition Skin_Chains_Buy_A_BronzeWarden.Skin_Chains_Buy_A_BronzeWarden
OrionSkinItemDefinition ChallengerSkin_Chains.ChallengerSkin_Chains
OrionSkinItemDefinition MasterSkin_Chains.MasterSkin_Chains
OrionSkinItemDefinition ChallengerSkin_Coil.ChallengerSkin_Coil
OrionSkinItemDefinition MasterySkin_Coil.MasterySkin_Coil
OrionSkinItemDefinition Skin_Coil_Buy_T1_RazorRed.Skin_Coil_Buy_T1_RazorRed
OrionSkinItemDefinition ChallengerSkin_Crunch.ChallengerSkin_Crunch
OrionSkinItemDefinition MasterSkin_Crunch.MasterSkin_Crunch
OrionSkinItemDefinition Skin_Crunch_Buy_T1_GoldenGloves.Skin_Crunch_Buy_T1_GoldenGloves
OrionSkinItemDefinition Skin_Crunch_Buy_T1_Siege.Skin_Crunch_Buy_T1_Siege
OrionSkinItemDefinition Skin_Crunch_Buy_T1_Titanium.Skin_Crunch_Buy_T1_Titanium
OrionSkinItemDefinition ChallengerSkin_Gadget.ChallengerSkin_Gadget
OrionSkinItemDefinition MasterSkin_Gadget.MasterSkin_Gadget
OrionSkinItemDefinition Skin_Gadget_Buy_A_Camo.Skin_Gadget_Buy_A_Camo
OrionSkinItemDefinition ChallengerSkin_Grux.ChallengerSkin_Grux
OrionSkinItemDefinition MasterSkin_Grux.MasterSkin_Grux
OrionSkinItemDefinition Skin_Grux_Buy_A_Tribal.Skin_Grux_Buy_A_Tribal
OrionSkinItemDefinition Skin_Grux_Buy_T1_Halloween.Skin_Grux_Buy_T1_Halloween
OrionSkinItemDefinition Skin_Grux_Buy_Tier2_Beetle.Skin_Grux_Buy_Tier2_Beetle
OrionSkinItemDefinition Skin_Grux_Drop_Tier2_BlackBeetle.Skin_Grux_Drop_Tier2_BlackBeetle
OrionSkinItemDefinition Skin_Grux_Drop_Tier2_GoldBeetle.Skin_Grux_Drop_Tier2_GoldBeetle
OrionSkinItemDefinition ChallengerSkin_Hammer.ChallengerSkin_Hammer
OrionSkinItemDefinition IntermediateSkin_Hammer.IntermediateSkin_Hammer
OrionSkinItemDefinition MasterSkin_Hammer.MasterSkin_Hammer
OrionSkinItemDefinition Skin_Hammer_T1_Buy_GrandOracle.Skin_Hammer_T1_Buy_GrandOracle
OrionSkinItemDefinition Skin_Hammer_T1_Earn_RedEmporer.Skin_Hammer_T1_Earn_RedEmporer
OrionSkinItemDefinition BuySkin_Hyperbreach_A_Hotrod.BuySkin_Hyperbreach_A_Hotrod
OrionSkinItemDefinition BuySkin_Hyperbreach_A_Wasteland.BuySkin_Hyperbreach_A_Wasteland
OrionSkinItemDefinition ChallengerSkin_Hyperbreach.ChallengerSkin_Hyperbreach
OrionSkinItemDefinition MasterSkin_Hyperbreach.MasterSkin_Hyperbreach
OrionSkinItemDefinition Skin_Hyperbreach_Buy_T2_WhiteDome.Skin_Hyperbreach_Buy_T2_WhiteDome
OrionSkinItemDefinition Skin_Hyperbreach_Drop_T2_LoveMachine.Skin_Hyperbreach_Drop_T2_LoveMachine
OrionSkinItemDefinition BuySkin_Kurohane_A_Purple.BuySkin_Kurohane_A_Purple
OrionSkinItemDefinition ChallengerSkin_Kurohane.ChallengerSkin_Kurohane
OrionSkinItemDefinition MasterSkin_Kurohane.MasterSkin_Kurohane
OrionSkinItemDefinition Skin_Kurohane_T1_Buy_RedDeath.Skin_Kurohane_T1_Buy_RedDeath
OrionSkinItemDefinition Challengerskin_Kwang.Challengerskin_Kwang
OrionSkinItemDefinition Skin_Kwang_T1_Bright.Skin_Kwang_T1_Bright
OrionSkinItemDefinition IntermediateSkin_Kwang.IntermediateSkin_Kwang
OrionSkinItemDefinition MasterSkin_Kwang.MasterSkin_Kwang
OrionSkinItemDefinition SKin_Kwang_Buy_T1_SilverGhost.SKin_Kwang_Buy_T1_SilverGhost
OrionSkinItemDefinition ChallengerSkin_Muriel.ChallengerSkin_Muriel
OrionSkinItemDefinition MasterSkin_Muriel.MasterSkin_Muriel
OrionSkinItemDefinition Skin_Muriel_Buy_A_Copper.Skin_Muriel_Buy_A_Copper
OrionSkinItemDefinition Skin_Muriel_Buy_T1_Amethyst.Skin_Muriel_Buy_T1_Amethyst
OrionSkinItemDefinition Skin_Muriel_Earn_T1_Midnight.Skin_Muriel_Earn_T1_Midnight
OrionSkinItemDefinition ChallengerSkin_Price.ChallengerSkin_Price
OrionSkinItemDefinition Skin_Price_Gift_A_SpecialForces.Skin_Price_Gift_A_SpecialForces
OrionSkinItemDefinition MasterSkin_Price.MasterSkin_Price
OrionSkinItemDefinition Skin_Price_Buy_T1_Executioner.Skin_Price_Buy_T1_Executioner
OrionSkinItemDefinition Skin_Price_Buy_T1_Halloween.Skin_Price_Buy_T1_Halloween
OrionSkinItemDefinition Skin_Price_Buy_T2_Snakebite.Skin_Price_Buy_T2_Snakebite
OrionSkinItemDefinition Skin_Price_Buy_Tier2_BioFreak.Skin_Price_Buy_Tier2_BioFreak
OrionSkinItemDefinition Skin_Price_Buy_Tier2_BlueBioFreak.Skin_Price_Buy_Tier2_BlueBioFreak
OrionSkinItemDefinition Skin_Price_Buy_Tier2_GreenBioFreak.Skin_Price_Buy_Tier2_GreenBioFreak
OrionSkinItemDefinition Skin_Price_Gift_CS_Monarch.Skin_Price_Gift_CS_Monarch
OrionSkinItemDefinition ChallengerSkin_Pyro.ChallengerSkin_Pyro
OrionSkinItemDefinition MasterSkin_Pyro.MasterSkin_Pyro
OrionSkinItemDefinition Skin_Pyro_Buy_Tier1_Fireball.Skin_Pyro_Buy_Tier1_Fireball
OrionSkinItemDefinition ChallengerSkin_Rampage.ChallengerSkin_Rampage
OrionSkinItemDefinition MasterSkin_Rampage.MasterSkin_Rampage
OrionSkinItemDefinition Skin_Rampage_Buy_A_Bloodrage.Skin_Rampage_Buy_A_Bloodrage
OrionSkinItemDefinition Skin_Rampage_Buy_Tier2_Elemental.Skin_Rampage_Buy_Tier2_Elemental
OrionSkinItemDefinition ChallengerSkin_Riftmage.ChallengerSkin_Riftmage
OrionSkinItemDefinition MasterSkin_RiftMage.MasterSkin_RiftMage
OrionSkinItemDefinition Skin_Riftmage_Buy_Tier1_Halloween.Skin_Riftmage_Buy_Tier1_Halloween
OrionSkinItemDefinition Skin_Riftmage_Buy_Tier1_Inquisitor.Skin_Riftmage_Buy_Tier1_Inquisitor
OrionSkinItemDefinition Skin_Riftmage_Buy_Tier2_Undertow.Skin_Riftmage_Buy_Tier2_Undertow
OrionSkinItemDefinition ChallengerSkin_Sparrow.ChallengerSkin_Sparrow
OrionSkinItemDefinition MasterSkin_Sparrow.MasterSkin_Sparrow
OrionSkinItemDefinition Skin_Sparrow_Buy_A_AutumnFire.Skin_Sparrow_Buy_A_AutumnFire
OrionSkinItemDefinition Skin_Sparrow_Buy_T1_Halloween.Skin_Sparrow_Buy_T1_Halloween
OrionSkinItemDefinition Skin_Sparrow_Gift_CS_Monarch.Skin_Sparrow_Gift_CS_Monarch
OrionSkinItemDefinition BuySkin_Steel_A_CarbonFiber.BuySkin_Steel_A_CarbonFiber
OrionSkinItemDefinition BuySkin_Steel_T1_Aegis.BuySkin_Steel_T1_Aegis
OrionSkinItemDefinition ChallengerSkin_Steel.ChallengerSkin_Steel
OrionSkinItemDefinition MasterSkin_Steel.MasterSkin_Steel
OrionSkinItemDefinition Skin_Steel_CS_Gift_Cobalt.Skin_Steel_CS_Gift_Cobalt
OrionSkinItemDefinition Skin_Steel_T1_Buy_Diesel.Skin_Steel_T1_Buy_Diesel
OrionSkinItemDefinition Skin_Steel_T3_Buy_Mayan.Skin_Steel_T3_Buy_Mayan
OrionSkinItemDefinition Skin_Sword_T1_Buy_DragonLord.Skin_Sword_T1_Buy_DragonLord
OrionSkinItemDefinition Skin_Sword_T1_Buy_WhiteTiger.Skin_Sword_T1_Buy_WhiteTiger
OrionSkinItemDefinition SwordSkin_Challenger.SwordSkin_Challenger
OrionSkinItemDefinition SwordSkin_Master.SwordSkin_Master
OrionSkinItemDefinition ChallengerSkin_Tacticia.ChallengerSkin_Tacticia
OrionSkinItemDefinition IntermediateSkin_Tacticia.IntermediateSkin_Tacticia
OrionSkinItemDefinition MasterSkin_Tacticia.MasterSkin_Tacticia
OrionSkinItemDefinition Skin_Tacticia_Buy_T1_Halloween.Skin_Tacticia_Buy_T1_Halloween
OrionSkinItemDefinition Skin_Tacticia_Buy_Tier1_ShadowCommander.Skin_Tacticia_Buy_Tier1_ShadowCommander
OrionSkinItemDefinition Skin_Tomahawk_Buy_T1_Halloween.Skin_Tomahawk_Buy_T1_Halloween
OrionSkinItemDefinition Skin_Tomahawk_Buy_T1_PitViper.Skin_Tomahawk_Buy_T1_PitViper
OrionSkinItemDefinition Skin_Tomahawk_Buy_T1_SunTiger.Skin_Tomahawk_Buy_T1_SunTiger
OrionSkinItemDefinition Skin_Tomahawk_Buy_T1_WhiteTiger.Skin_Tomahawk_Buy_T1_WhiteTiger
OrionSkinItemDefinition Skin_Tomahawk_Buy_T2_GruxPelt.Skin_Tomahawk_Buy_T2_GruxPelt
OrionSkinItemDefinition TomahawkSkin_Challenger.TomahawkSkin_Challenger
OrionSkinItemDefinition TomahawkSkin_Mastery.TomahawkSkin_Mastery
OrionSkinItemDefinition ChallengerSkin_Totem.ChallengerSkin_Totem
OrionSkinItemDefinition MasterSkin_Totem.MasterSkin_Totem
OrionSkinItemDefinition Skin_Totem_Buy_A_Static.Skin_Totem_Buy_A_Static
OrionSkinItemDefinition Skin_Totem_Buy_T1_Arctic.Skin_Totem_Buy_T1_Arctic
OrionSkinItemDefinition Skin_Totem_Gift_CS_Monarch.Skin_Totem_Gift_CS_Monarch
OrionSkinItemDefinition ChallengerSkin_Twinblast.ChallengerSkin_Twinblast
OrionSkinItemDefinition MasterSkin_Twinblast.MasterSkin_Twinblast
OrionSkinItemDefinition Skin_Twinblast_Buy_A_Wasteland.Skin_Twinblast_Buy_A_Wasteland
OrionSkinItemDefinition Skin_Twinblast_Buy_T1_Energized.Skin_Twinblast_Buy_T1_Energized
OrionSkinItemDefinition Skin_Twinblast_Buy_T1_Halloween.Skin_Twinblast_Buy_T1_Halloween
OrionSkinItemDefinition ChallengerSkin_Vamp.ChallengerSkin_Vamp
OrionSkinItemDefinition MasterSkin_Vamp.MasterSkin_Vamp
OrionSkinItemDefinition Skin_Vamp_Buy_T1_Carnivale.Skin_Vamp_Buy_T1_Carnivale
OrionSkinItemDefinition Skin_Vamp_Buy_T1_GoldenMasque.Skin_Vamp_Buy_T1_GoldenMasque
OrionSkinItemDefinition Skin_Vamp_Buy_T1_RedHex.Skin_Vamp_Buy_T1_RedHex
OrionSkinItemDefinition Skin_Venus_Buy_Tier1_Angelic.Skin_Venus_Buy_Tier1_Angelic
OrionSkinItemDefinition Skin_Venus_Buy_Tier1_Nightshade.Skin_Venus_Buy_Tier1_Nightshade
OrionSkinItemDefinition Skin_Venus_Buy_Tier1_Rainbow.Skin_Venus_Buy_Tier1_Rainbow
OrionSkinItemDefinition VenusSkin_Challenger.VenusSkin_Challenger
OrionSkinItemDefinition VenusSkin_Mastery.VenusSkin_Mastery
OrionSkinItemDefinition Skin_WarDrum_Buy_Tier1_Ginger.Skin_WarDrum_Buy_Tier1_Ginger
OrionSkinItemDefinition Skin_WarDrum_Challenger.Skin_WarDrum_Challenger
OrionSkinItemDefinition Skin_WarDrum_Master.Skin_WarDrum_Master
